[0.3033296] [0.5020147] [-0.9130703] [6.517107] [0.2734269] [-0.3271118] 
[0.3066632] [0.070011] [0.036504123] [-0.58594686] [-0.81741315] [1.531138] 
[0.22992097] [0.26444963] [0.59870946] [-0.9005955] [-0.86900496] [-0.050964504] 
[0.049215514] [0.16677526] [0.10452826] [-0.57100266] [-4.315844] [-0.5381312] 
[-0.046225913] [0.6572109] [-0.22397117] [-48.426174] [-0.6677047] [-1.042551] 
[0.9855104] [-0.19934075] [-3.4662123] [-0.4763715] [-0.6667095] [-1.2569373] 

[-0.33136934] [-0.85487443] [0.010174068] [0.07747276] [0.14002758] [0.5287992] 
[0.043279] [-0.14627883] [0.13906838] [0.08132955] [0.011654064] [0.012853534] 
[-3.2479987] [-0.14926061] [0.14029127] [0.010438794] [4.7092113] [0.008912341] 
[-0.13961981] [0.006574146] [-0.42303348] [-0.002158132] [0.0042897654] [0.071220644] 
[-2.5539713] [0.052698433] [0.1692664] [0.10207578] [-0.24991658] [0.09521033] 
[0.345207] [0.22388653] [0.26825002] [0.038687464] [-0.027857484] [2.394083] 

[3.2138972] [0.0023808994] [0.0018531744] [0.015592209] [0.04343895] [-13.113684] 
[0.19663782] [0.0020926504] [23.71914] [9.040612E-4] [-0.093407504] [-0.011704137] 
[0.20267372] [0.015525829] [0.0022397712] [-4.8360165E-4] [-0.4588252] [0.14776464] 
[-0.014466543] [-0.16740958] [-0.2902657] [-1.2822068] [0.6340022] [0.45728493] 
[2.9982264] [0.034412958] [0.04114449] [-0.001068684] [-0.025053445] [-0.13027646] 
[0.34594244] [-0.009150316] [8.429658] [0.023696674] [-5.2255564] [-0.15158035] 

