Конь | horse
Яблоко | apple
Дерево | Tree
Ров | Moat
Ровный | Smooth
и | and
а | and
но | but
на | on
я | I
петлять и прыгать | jump
Йоссариан | Yossarian
Дэнби | Danby
майор | major
Прыгнул | jumped
Прыгайте | jump
был таков | he took off
Вам | You
рванулся | rushed
я буду | I will
буду | I'll
придется | will have to
держать ухо востро | keep on your toes
Уловка-22 | Catch-22
С утра до вечера | from morning to evening
с вечера до утра | From Dusk till Dawn
рванулся -- и | Nately's whore was hiding just outside the door. The knife came down, missing him by inches, and
Шалтай-болтай | Humpty Dumpty
сидел | sat
стене | wall
закричал | cried
Чтобы изловить вас | to catch you
они обшарят небеса и землю | they'll bend heaven and earth
